StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID1,QID2,QID3,QID4,QID4_5_TEXT,QID7,QID6,QID8,QID8_25_TEXT,QID10,QID11,QID12,QID13,QID15,QID16,QID17,QID40,QID18,QID19,QID20,QID21,QID22,QID23,QID24,QID25,QID26,QID28,QID29,QID30,QID31,QID32
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Graduate Student,,Computer Sciences,,College of Letters and Sciences,,Moderately familiar,Extremely familiar,Extremely familiar,Yes,Implementations (code),Critical/Vital/Essential,,I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Customization,Lower Costs",Yes,Strongly agree,Strongly agree,No,Somewhat disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Staff,,,10+ years,College of Letters and Sciences,,Extremely familiar,Extremely familiar,Extremely familiar,Yes,"linux operating system, julia, R, octave, common lisp (sbcl, ecl) programming languages, REDUCE, macsyma, macauley, axiom computer algebra systems, LaTex typsetting system ",Critical/Vital/Essential,,I use open source software much more than the licensed software in CSL,"Reproducibility,Flexibility,Scalability,Community Support,Customization,Lower Costs,Vendor Independence",Yes,Strongly agree,Neither agree nor disagree,Yes,Neither agree nor disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,10+ years,College of Letters and Sciences,,Not familiar at all,Moderately familiar,Moderately familiar,Yes,ArXiv,Valuable,Mathematica,I use open source software about the same as the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Community Support,Lower Costs",Yes,Strongly agree,Somewhat agree,No,Somewhat agree,Some value,No,,No,No,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,10+ years,College of Letters and Sciences,,Very familiar,Extremely familiar,Very familiar,Yes,,Critical/Vital/Essential,TechSmith Camtasia,I use open source software about the same as the licensed software in CSL,,Yes,Strongly agree,Strongly agree,Yes,Somewhat agree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Staff,,,10+ years,College of Letters and Sciences,,Slightly familiar,Moderately familiar,Not familiar at all,No,,Valuable,,"N/A, I don't use either","Knowledge Sharing,Flexibility,Customization",Yes,Somewhat agree,Somewhat agree,No,Somewhat agree,Some value,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Graduate Student,,Electrical and Computer Engineering,,College of Engineering,,Moderately familiar,Extremely familiar,Slightly familiar,Yes,"PyTorch, tensor flow",Critical/Vital/Essential,,I use open source software much more than the licensed software in CSL,"Community Support,Customization,Vendor Independence",Yes,Strongly agree,Strongly agree,No,Somewhat agree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,10+ years,College of Letters and Sciences,,Slightly familiar,Moderately familiar,Very familiar,Yes,"Rydicule, Alkali-Rydberg-Calculator",Valuable,"Labview,Mathematica,Matlab",I use open source software much less than the licensed software in CSL,"Knowledge Sharing,Lower Costs",Not sure,Somewhat agree,Somewhat agree,No,Neither agree nor disagree,Neutral,No,,No,No,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,10+ years,College of Engineering,,Not familiar at all,Very familiar,Moderately familiar,Yes,"Google Tensorflow
Meta Pytorch
OpenCV
Programs shared via Github",Valuable,Matlab,I use open source software about the same as the licensed software in CSL,"Flexibility,Customization",Yes,Strongly disagree,Strongly agree,No,Somewhat agree,Very valuable,No,,Yes,No,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Undergraduate Student,,Computer Science ,,School of Computer Data and Information Sciences,,Moderately familiar,Extremely familiar,Extremely familiar,Yes,"I recognize software and hardware that is released with open source licensing, such as MIT, GPL2/3, Apache 2, etc.",Critical/Vital/Essential,,I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Community Support,Lower Costs,Vendor Independence",Yes,Strongly agree,Strongly agree,Yes,Somewhat disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Graduate Student,,Industrial & Systems Engineering,,College of Engineering,,Slightly familiar,Very familiar,Very familiar,Yes,"Python/Julia Ecosystem, SCIP, HiGHS",Valuable,Mathematica,I use open source software much less than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Community Support,Lower Costs",Yes,Strongly agree,Strongly agree,No,Neither agree nor disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Staff,,,10+ years,College of Letters and Sciences,,Moderately familiar,Extremely familiar,Moderately familiar,Yes,"Linux OS, Python, matplotlib, scipy, kicad, klayout",Critical/Vital/Essential,"SolidWorks,Mathematica",I use open source software much less than the licensed software in CSL,"Knowledge Sharing,Flexibility,Customization,Vendor Independence",Yes,Strongly agree,Somewhat agree,Yes,Neither agree nor disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Graduate Student,,Physics,,College of Letters and Sciences,,Extremely familiar,Extremely familiar,Extremely familiar,Yes,Python,Valuable,"SolidWorks,Mathematica,Matlab",I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Community Support,Customization,Lower Costs,Vendor Independence",Yes,Strongly agree,Strongly agree,No,Somewhat disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,10+ years,College of Letters and Sciences,,Very familiar,Very familiar,Very familiar,Yes,"Linux, gcc, clang, apache",Critical/Vital/Essential,,I use open source software much less than the licensed software in CSL,"Knowledge Sharing,Community Support,Lower Costs",Not sure,Strongly agree,Somewhat agree,No,Somewhat agree,Some value,No,,No,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Staff,,,10+ years,School of Medicine and Public Health,,Slightly familiar,Extremely familiar,Slightly familiar,Yes,"Linux, Gnu core utils, GCC, Firefox, Python, Julia, Scikit-Learn, PostgreSQL, SQLite (sort of, license not OSI-compliant), LaTeX and all the things those are built on. Basically, everything I do with computers is open source. (The only exceptions I can readily think of involve VPNs.)",Critical/Vital/Essential,,I use open source software much more than the licensed software in CSL,"Flexibility,Community Support,Customization,Lower Costs",Yes,Somewhat agree,Somewhat agree,Yes,Somewhat disagree,Some value,No,,No,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Graduate Student,,Statistics,,College of Letters and Sciences,,Very familiar,Extremely familiar,Very familiar,Yes,"Linux, LAPACK, Julia, etc.",Critical/Vital/Essential,,I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Scalability,Community Support,Customization,Lower Costs,Vendor Independence",Yes,Strongly agree,Strongly agree,Yes,Neither agree nor disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Staff,,,10+ years,College of Letters and Sciences,,Very familiar,Extremely familiar,Very familiar,Yes,"Linux
Apache
WordPress
MySQL
PHP
Python
gnu compilers
Indico (event management software)
HTCondor",Critical/Vital/Essential,Mathematica,I use open source software much more than the licensed software in CSL,"Flexibility,Scalability",Yes,Strongly agree,Strongly agree,Yes,Strongly agree,Very valuable,Yes,HTCondor user group meetings,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Graduate Student,,Computer Sciences,,College of Letters and Sciences,,Not familiar at all,Extremely familiar,Extremely familiar,Yes,"Linux, Python, PHP, OpenLambda, Blox Simulator",Critical/Vital/Essential,,I use open source software much more than the licensed software in CSL,"Community Support,Customization,Lower Costs",Yes,Strongly agree,Strongly agree,Yes,Neither agree nor disagree,Very valuable,Yes,Linux and Python - covered in COMP SCI 544 Introduction to Big Data Systems,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Graduate Student,,Statistics,,College of Letters and Sciences,,Not familiar at all,Very familiar,Very familiar,Yes,"R, Julia, Python, packages in these languages",Critical/Vital/Essential,,I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Scalability,Community Support,Customization,Lower Costs,Vendor Independence",Yes,Strongly agree,Strongly agree,Yes,Somewhat agree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,4-7 years,College of Letters and Sciences,,Not familiar at all,Moderately familiar,Slightly familiar,Yes,"Macaulay2 (a system for computing in commutative algebra, algebraic geometry
and related fields) is open source
https://www.macaulay2.com/",Valuable,"Maple,Mathematica,Matlab",I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing",Yes,Strongly agree,Strongly agree,Yes,Neither agree nor disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Staff,,,4-7 years,School of Medicine and Public Health,,Very familiar,Extremely familiar,Extremely familiar,Yes,"oh god

Linux in general, and everything associated
Jupyter notebooks
R, and many many packages (especially ggplot2, tidyverse)
Python, and many many packages (especially numpy, scipy, NeuroKit)
FMRIPrep, and many other containers/images, along with apptainer/docker/etc.

I could probably spend a full work day trying to enumerate all the open source pieces we rely on.
",Critical/Vital/Essential,"Matlab,SPSS from IBM",I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Community Support,Customization,Vendor Independence",Yes,Strongly agree,Strongly agree,Yes,Neither agree nor disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,10+ years,College of Letters and Sciences,,Moderately familiar,Extremely familiar,Very familiar,Yes,"LaTeX, GCC, Linux",Critical/Vital/Essential,"Mathematica,Matlab",I use open source software about the same as the licensed software in CSL,"Reproducibility,Knowledge Sharing,Community Support,Lower Costs,Vendor Independence",Yes,Strongly agree,Strongly agree,Yes,Neither agree nor disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Staff,,,7-10 years,College of Letters and Sciences,,Moderately familiar,Moderately familiar,Very familiar,Yes,open-source repos on github,Valuable,"SolidWorks,Mathematica,SPSS from IBM,STATA",I use open source software much less than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Scalability",Yes,Somewhat agree,Strongly agree,Yes,Neither agree nor disagree,Very valuable,Yes,data carpentries workshops using open source tools ,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Staff,,,10+ years,College of Letters and Sciences,,Very familiar,Extremely familiar,Extremely familiar,Yes,"haha like a million. linux, python, pandas, numpy, scipy, afni, fsl, in-house packages",Critical/Vital/Essential,"Matlab,SPSS from IBM",I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Scalability,Community Support,Customization,Lower Costs,Vendor Independence",Yes,Strongly agree,Strongly agree,Yes,Somewhat disagree,Very valuable,Yes,Software carpentry,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,10+ years,College of Engineering,,Not familiar at all,Very familiar,Slightly familiar,Yes,"Linux and its associated applications, and ports thereof to (e.g.) Windows",Critical/Vital/Essential,"Labview,Matlab",I use open source software about the same as the licensed software in CSL,"Flexibility,Community Support,Customization,Lower Costs,Vendor Independence",Yes,Neither agree nor disagree,Neither agree nor disagree,No,Neither agree nor disagree,Some value,No,,No,No,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,4-7 years,School of Education,,Not familiar at all,Extremely familiar,Moderately familiar,Yes,"R, Julia, python, supporting packages in those ecosystems
Zotero",Critical/Vital/Essential,,I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Community Support,Lower Costs,Vendor Independence",Yes,Strongly agree,Somewhat agree,Yes,Neither agree nor disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,4-7 years,School of Computer Data and Information Sciences,,Extremely familiar,Extremely familiar,Very familiar,Yes,"'- Almost everything we use in our research is open source. I can only think of Zoom, MS Office, and Cloud services like Google products, everything is open source. 

Similarly, everything I do is open source. I don't know what to mention here. ",Critical/Vital/Essential,,I use open source software much more than the licensed software in CSL,"Knowledge Sharing,Flexibility,Community Support,Lower Costs,Vendor Independence",No,Strongly agree,Strongly disagree,Yes,Somewhat agree,Neutral,No,,No,No,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,4-7 years,College of Agricultural and Life Sciences,,Not familiar at all,Extremely familiar,Very familiar,Yes,My lab develops open source software for biological data,Critical/Vital/Essential,,I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Community Support,Customization,Vendor Independence",Yes,Strongly agree,Strongly agree,Yes,Strongly agree,Very valuable,Yes,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Staff,,,0-1 years,Other,Data Science Institute,Extremely familiar,Extremely familiar,Moderately familiar,Yes,"	1.	Programming Languages:
	•	Python
	•	R
	2.	Python Libraries:
	•	NumPy
	•	Pandas
	•	SciPy
	•	Scikit-learn
	•	TensorFlow
	•	PyTorch
	3.	R Packages:
	•	dplyr
	•	ggplot2
	•	caret
	4.	Big Data Tools:
	•	Apache Hadoop
	•	Apache Spark
	•	Apache Kafka
	5.	Visualization:
	•	Matplotlib (Python)
	•	Seaborn (Python)
	•	Plotly (Python and R)
	•	ggplot2 (R)
	6.	Data Manipulation and Analysis:
	•	Apache Airflow
	•	Apache Flink
	•	Apache Hive
	7.	Natural Language Processing:
	•	NLTK (Python)
	•	spaCy (Python)
	8.	Machine Learning:
	•	XGBoost
	•	LightGBM",Critical/Vital/Essential,"JMP,Mathematica,SAS",I use open source software about the same as the licensed software in CSL,"Reproducibility,Flexibility,Scalability",Yes,Strongly agree,Strongly agree,Yes,Strongly agree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,1-3 years,College of Letters and Sciences,,Not familiar at all,Moderately familiar,Very familiar,Yes,R,Valuable,STATA,I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Scalability,Community Support,Customization,Lower Costs,Vendor Independence",Yes,Strongly agree,Somewhat agree,No,Neither agree nor disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,0-1 years,School of Computer Data and Information Sciences,,Very familiar,Extremely familiar,Moderately familiar,Yes,"LaTeX, The Coq Proof Asistant, Z3 Theorem Prover",Valuable,,I use open source software much more than the licensed software in CSL,"Flexibility,Community Support,Lower Costs,Vendor Independence",Yes,Strongly agree,Somewhat agree,Yes,Neither agree nor disagree,Some value,No,,Yes,No,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,4-7 years,College of Engineering,,Not familiar at all,Very familiar,Slightly familiar,Yes,"LAMMPS, MOOSE",Critical/Vital/Essential,Matlab,I use open source software much more than the licensed software in CSL,"Knowledge Sharing,Community Support,Customization,Lower Costs",Yes,Strongly agree,Somewhat agree,Yes,Somewhat agree,Some value,No,,Yes,No,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,7-10 years,School of Medicine and Public Health,,Very familiar,Extremely familiar,Extremely familiar,Yes,"Python, Julia, R, PyTorch, scikit-learn, numpy, Snakemake, HTCondor, ESM",Critical/Vital/Essential,"Matlab,PyMOL",I use open source software much more than the licensed software in CSL,"Knowledge Sharing,Flexibility,Lower Costs",Yes,Strongly agree,Somewhat disagree,Yes,Somewhat agree,Very valuable,No,,No,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Other,,,,College of Letters and Sciences,,Extremely familiar,Extremely familiar,Extremely familiar,Yes,R and CRAN; Rstudio is free but not open source,Critical/Vital/Essential,,I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Scalability,Community Support,Customization,Lower Costs,Vendor Independence",Yes,Strongly agree,Strongly agree,Yes,Strongly agree,Very valuable,Yes,Carpentry instructor training,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Graduate Student,,Forestry,,College of Agricultural and Life Sciences,,Moderately familiar,Very familiar,Slightly familiar,Yes,R/ RStudio; Anaconda/ Python; QGIS; FORCE: Framework for Operational Radiometric Correction for Environmental monitoring; WinRAR,Critical/Vital/Essential,IDL - NV5,I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Scalability,Community Support,Customization,Lower Costs,Vendor Independence",Yes,Strongly agree,Somewhat agree,Yes,Somewhat disagree,Very valuable,Yes,Statistics course 571/ 572 and training to use R/ RStudio,Yes,Yes,,,
,,,,16,,FALSE,,,,,,,,,,,,Yes,,Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,41,,FALSE,,,,,,,,,,,,Yes,,Faculty,,,10+ years,Office of the Vice Chancellor for Research,,Not familiar at all,Not familiar at all,Not familiar at all,No,,,,,,,,,,,,,,,,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Staff,,,10+ years,Graduate School,,Slightly familiar,Very familiar,Moderately familiar,Yes,The entire Python ecosystem,Critical/Vital/Essential,"SmartDraw,IDL - NV5,Matlab",I use open source software much more than the licensed software in CSL,"Reproducibility,Flexibility",Yes,Strongly agree,Strongly agree,Yes,Somewhat agree,Very valuable,No,,Yes,Yes,,,
,,,,81,,FALSE,,,,,,,,,,,,Yes,,Staff,,,,College of Agricultural and Life Sciences,,Moderately familiar,Moderately familiar,Moderately familiar,Yes,,Neutral,Matlab,"N/A, I don't use either","Reproducibility,Community Support,Customization",Not sure,Strongly agree,Strongly agree,Yes,Strongly agree,Very valuable,No,,,,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Graduate Student,,Biotechnology,,College of Letters and Sciences,,Slightly familiar,Slightly familiar,Moderately familiar,No,,Neutral,"ChemDraw,Labview,Matlab",I use open source software much less than the licensed software in CSL,"Knowledge Sharing,Flexibility,Lower Costs",Yes,Somewhat agree,Somewhat agree,No,Somewhat agree,Some value,No,,Yes,Yes,,,
,,,,41,,FALSE,,,,,,,,,,,,Yes,,Staff,,,10+ years,School of Medicine and Public Health,,Slightly familiar,Very familiar,Moderately familiar,Yes,,,,,,,,,,,,,,,,,,
,,,,13,,FALSE,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,22,,FALSE,,,,,,,,,,,,Yes,,Postdoc,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,41,,FALSE,,,,,,,,,,,,Yes,,Faculty,,,4-7 years,School of Computer Data and Information Sciences,,Moderately familiar,Extremely familiar,Very familiar,Yes,,,,,,,,,,,,,,,,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,4-7 years,College of Letters and Sciences,,Slightly familiar,Slightly familiar,Slightly familiar,No,,Neutral,Autodesk,I use open source software much less than the licensed software in CSL,Knowledge Sharing,Yes,Strongly agree,Strongly agree,No,Neither agree nor disagree,Very valuable,No,,Yes,No,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Graduate Student,,Economics,,College of Letters and Sciences,,Extremely familiar,Extremely familiar,Very familiar,Yes,"Github, R packages, Python packages",Valuable,"SAS,STATA",I use open source software about the same as the licensed software in CSL,"Knowledge Sharing,Flexibility,Community Support,Customization,Lower Costs",Yes,Strongly agree,Strongly agree,Yes,Neither agree nor disagree,Some value,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,4-7 years,College of Letters and Sciences,,Not familiar at all,Very familiar,Very familiar,Yes,Open source software like R,Valuable,"Mathematica,Matlab,STATA",I use open source software much less than the licensed software in CSL,Knowledge Sharing,Yes,Strongly agree,Somewhat agree,No,Somewhat agree,Some value,No,,No,No,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Graduate Student,,communication sciences and disorders,,School of Medicine and Public Health,,Slightly familiar,Slightly familiar,Not familiar at all,Yes,library,Critical/Vital/Essential,Matlab,"N/A, I don't use either",Flexibility,Yes,Strongly agree,Strongly agree,No,Somewhat agree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,10+ years,College of Letters and Sciences,,Not familiar at all,Moderately familiar,Very familiar,Yes,"Open source books, various publishers",Valuable,,"N/A, I don't use either","Knowledge Sharing,Lower Costs",Yes,Neither agree nor disagree,Neither agree nor disagree,Yes,Neither agree nor disagree,Neutral,No,,No,No,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,1-3 years,College of Letters and Sciences,,Very familiar,Extremely familiar,Extremely familiar,Yes,"EEGLAB, Fieldtrip, MNE, Praat, Psychtoolbox",Critical/Vital/Essential,"Matlab,SPSS from IBM",I use open source software about the same as the licensed software in CSL,"Reproducibility,Knowledge Sharing,Scalability,Community Support,Customization,Lower Costs",Yes,Strongly agree,Strongly agree,Yes,Somewhat agree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Graduate Student,,Economics,,College of Letters and Sciences,,Not familiar at all,Moderately familiar,Very familiar,Yes,Github,Critical/Vital/Essential,"Matlab,STATA",I use open source software about the same as the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Vendor Independence",Not sure,Somewhat agree,Somewhat agree,No,Neither agree nor disagree,Very valuable,No,,No,No,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Other,,,,College of Letters and Sciences,,Not familiar at all,Not familiar at all,Not familiar at all,No,,Irrelevant,,"N/A, I don't use either",,Not sure,Neither agree nor disagree,Neither agree nor disagree,No,Neither agree nor disagree,Neutral,No,,Yes,No,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Staff,,,10+ years,College of Letters and Sciences,,Not familiar at all,Not familiar at all,Not familiar at all,No,,Little importance,,"N/A, I don't use either",,Yes,Strongly agree,Strongly agree,Yes,Somewhat agree,Some value,No,,Yes,No,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Graduate Student,,Economics,,College of Letters and Sciences,,Slightly familiar,Very familiar,Very familiar,Yes,"Julia, R",Critical/Vital/Essential,"Mathematica,Matlab,STATA",I use open source software much less than the licensed software in CSL,"Knowledge Sharing,Scalability,Community Support,Lower Costs",Yes,Strongly agree,Strongly agree,No,Somewhat agree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Graduate Student,,Art History,,College of Letters and Sciences,,Not familiar at all,Not familiar at all,Not familiar at all,No,,Neutral,,"N/A, I don't use either",,Not sure,Neither agree nor disagree,Neither agree nor disagree,No,Neither agree nor disagree,Neutral,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,1-3 years,College of Letters and Sciences,,Extremely familiar,Extremely familiar,Very familiar,Yes,"numpy, matplotlib, Jupyter, scikit-learn, PyTorch, Jax, ROOT, pyhf, docker, git, ",Critical/Vital/Essential,,I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Scalability,Community Support,Customization,Lower Costs,Vendor Independence",Yes,Strongly agree,Strongly agree,Yes,Neither agree nor disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Graduate Student,,Economics,,College of Letters and Sciences,,Not familiar at all,Very familiar,Moderately familiar,Yes,Python packages,Valuable,STATA,I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Community Support,Customization,Lower Costs,Vendor Independence",Yes,Strongly agree,Neither agree nor disagree,Yes,Neither agree nor disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Graduate Student,,Economics,,Graduate School,,Not familiar at all,Very familiar,Very familiar,Yes,"R, Julia",Critical/Vital/Essential,STATA,I use open source software about the same as the licensed software in CSL,"Reproducibility,Flexibility,Community Support,Customization,Lower Costs",Yes,Somewhat agree,Neither agree nor disagree,No,Neither agree nor disagree,Some value,Yes,,Yes,No,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Graduate Student,,Economics ,,College of Letters and Sciences,,Not familiar at all,Extremely familiar,Extremely familiar,Yes,"Matlab, Stata, python, r",Critical/Vital/Essential,"Matlab,STATA",I use open source software much less than the licensed software in CSL,Knowledge Sharing,Yes,Strongly agree,Strongly agree,No,Neither agree nor disagree,Neutral,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,1-3 years,College of Letters and Sciences,,Slightly familiar,Extremely familiar,Very familiar,Yes,Almost the entirety of the modern software ecosystem relies on open source software. https://github.com/,Critical/Vital/Essential,,I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Scalability,Community Support,Customization,Lower Costs,Vendor Independence",Yes,Strongly agree,Strongly agree,Yes,Somewhat disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Staff,,,10+ years,School of Computer Data and Information Sciences,,Very familiar,Extremely familiar,Extremely familiar,Yes,"The Linux Kernel and operating system
C++ and Clang compilers
Python
R
Jupyter Notebooks",Critical/Vital/Essential,,I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Community Support,Lower Costs",Yes,Strongly agree,Strongly agree,Yes,Neither agree nor disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Graduate Student,,Economics,,College of Letters and Sciences,,Not familiar at all,Very familiar,Very familiar,Yes,The programming language Julia.,Valuable,"Mathematica,STATA",I use open source software about the same as the licensed software in CSL,Lower Costs,Yes,Strongly agree,Strongly agree,No,Neither agree nor disagree,Some value,Yes,I took a class in which I used Julia to complete assignments.,Yes,No,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Staff,,,1-3 years,School of Computer Data and Information Sciences,,Slightly familiar,Extremely familiar,Moderately familiar,Yes,"HTCondor, Pelican Platform, Spack, Conda, Apptainer, Python, R, Julia, PyTorch, TensorFlow, NumPy, SciPy, SymPy, OpenMolCas, PySCF",Critical/Vital/Essential,Matlab,I use open source software much more than the licensed software in CSL,"Knowledge Sharing,Flexibility,Scalability,Lower Costs,Vendor Independence",Yes,Strongly agree,Neither agree nor disagree,Yes,Somewhat agree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Staff,,,10+ years,Office of the Vice Chancellor for Research,,Very familiar,Extremely familiar,Extremely familiar,Yes,Most the scientific scripts we use are freely available on GitHub and use R or Python (or other languages),Critical/Vital/Essential,"Matlab,PyMOL",I use open source software much more than the licensed software in CSL,"Knowledge Sharing,Flexibility,Customization,Lower Costs",Yes,Strongly agree,Strongly agree,Yes,Neither agree nor disagree,Very valuable,Yes,I have taken a couple of carpentry courses,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Staff,,,0-1 years,School of Computer Data and Information Sciences,,Slightly familiar,Very familiar,Moderately familiar,Yes,"HTCondor, Pelican, Git, Python, Node.js, Docker, Kubernetes, Grafana, Go, Prometheus",Critical/Vital/Essential,Matlab,I use open source software much more than the licensed software in CSL,"Knowledge Sharing,Flexibility,Lower Costs,Vendor Independence",Yes,Somewhat agree,Strongly agree,Yes,Somewhat agree,Very valuable,Yes,"As a Research Software Engineer working on building Open Source projects, I was trained by my colleagues during my onboarding to follow guidelines of building and maintaining Open Source projects",Yes,Yes,,,
